class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Aves,Accipitriformes,Cathartidae,Cóndor Andino,2481907,Vultur gryphus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/312056129/original.jpg,https://es.wikipedia.org/wiki/Vultur_gryphus
Aves,Passeriformes,Cinclidae,Mirlo-Acuático Gorgirrufo,5788911,Cinclus schulzii,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/2006747/original.jpg,https://es.wikipedia.org/wiki/Cinclus_schulzii
Aves,Phoenicopteriformes,Phoenicopteridae,Flamenco Chileno,2481110,Phoenicopterus chilensis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/2423547/original.jpg,https://es.wikipedia.org/wiki/Phoenicopterus_chilensis
Aves,Passeriformes,Furnariidae,Pajonalera Piquirrecta,5788780,Limnoctites rectirostris,NT,https://static.inaturalist.org/photos/111966496/original.jpg,https://es.wikipedia.org/wiki/Limnoctites_rectirostris
Aves,Psittaciformes,Psittacidae,Amazona Tucumana,2479629,Amazona tucumana,VU,https://static.inaturalist.org/photos/226964062/original.jpeg,https://es.wikipedia.org/wiki/Amazona_tucumana
Aves,Anseriformes,Anatidae,Pato Vapor Cabeciblanco,2498235,Tachyeres leucocephalus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/172624771/original.jpg,https://es.wikipedia.org/wiki/Tachyeres_leucocephalus
Aves,Rheiformes,Rheidae,Greater Rhea,2495165,Rhea americana,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/68235230/original.jpeg,https://es.wikipedia.org/wiki/Rhea_americana
Aves,Psittaciformes,Psittacidae,Amazona Frentiazul,2479662,Amazona aestiva,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/167963315/original.jpg,https://es.wikipedia.org/wiki/Amazona_aestiva
Aves,Passeriformes,Corvidae,Chara Cerúlea,2482560,Cyanocorax caeruleus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/151597774/original.jpg,https://es.wikipedia.org/wiki/Cyanocorax_caeruleus
Aves,Galliformes,Cracidae,Pava Yacupemba,2482204,Penelope superciliaris,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/32133738/original.jpeg,https://es.wikipedia.org/wiki/Penelope_superciliaris
Aves,Passeriformes,Furnariidae,Tijeral De Las Araucarias,2485140,Leptasthenura setaria,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/258124502/original.jpg,https://es.wikipedia.org/wiki/Leptasthenura_setaria
Aves,Passeriformes,Polioptilidae,Perlita Blanca,2487594,Polioptila lactea,NT,https://static.inaturalist.org/photos/28127587/original.jpg,https://es.wikipedia.org/wiki/Polioptila_lactea
Aves,Gruiformes,Rallidae,Polluela Overa,2474620,Porzana spiloptera,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/54730172/original.jpeg,https://es.wikipedia.org/wiki/Porzana_spiloptera
Aves,Passeriformes,Thraupidae,Semillero Palustre,2491342,Sporophila palustris,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/89724/original.jpg,https://es.wikipedia.org/wiki/Sporophila_palustris
Aves,Piciformes,Picidae,Picamaderos Caricanelo,8868834,Celeus galeatus,VU,https://static.inaturalist.org/photos/206145141/original.jpg,https://es.wikipedia.org/wiki/Celeus_galeatus
Mammalia,Rodentia,Caviidae,Mara Patagónica,2437619,Dolichotis patagonum,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/34472142/original.jpg,https://es.wikipedia.org/wiki/Dolichotis_patagonum
Mammalia,Microbiotheria,Microbiotheriidae,Monito Del Monte,2433393,Dromiciops gliroides,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/265335811/original.jpg,https://es.wikipedia.org/wiki/Dromiciops_gliroides
Aves,Galliformes,Cracidae,Pava Yacutinga,2482303,Pipile jacutinga,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/243789945/original.jpg,https://es.wikipedia.org/wiki/Pipile_jacutinga
Insecta,Hymenoptera,Apidae,Abejorro Moscardon,1340388,Bombus dahlbomii,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/13595251/original.jpg,https://es.wikipedia.org/wiki/Bombus_dahlbomii
Mammalia,Perissodactyla,Tapiridae,Cuanta O Ranta,2440898,Tapirus terrestris,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/217394473/original.jpg,https://es.wikipedia.org/wiki/Tapirus_terrestris
Mammalia,Primates,Atelidae,Aullador Negro,2436652,Alouatta caraya,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/76177568/original.jpg,https://es.wikipedia.org/wiki/Alouatta_caraya
Aves,Passeriformes,Tyrannidae,Doradito Tucumano,2482647,Pseudocolopteryx dinelliana,NT,https://static.inaturalist.org/photos/17660058/original.jpg,https://es.wikipedia.org/wiki/Pseudocolopteryx_dinelliana
Mammalia,Carnivora,Mustelidae,Amazonian River Otter,2433738,Lontra longicaudis,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/90286401/original.jpg,https://es.wikipedia.org/wiki/Lontra_longicaudis
Aves,Podicipediformes,Podicipedidae,Zampullín Tobiano,2482058,Podiceps gallardoi,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/238173998/original.jpg,https://es.wikipedia.org/wiki/Podiceps_gallardoi
Aves,Phoenicopteriformes,Phoenicopteridae,Parina Chica,2481108,Phoenicoparrus jamesi,NT,https://static.inaturalist.org/photos/79863611/original.jpg,https://es.wikipedia.org/wiki/Phoenicoparrus_jamesi
Mammalia,Artiodactyla,Cervidae,Ciervo De Los Pantanos,2440963,Blastocerus dichotomus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/11425481/original.jpg,https://es.wikipedia.org/wiki/Blastocerus_dichotomus
Aves,Passeriformes,Thraupidae,Monterita De Tucumán,2491160,Poospiza baeri,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/233346805/original.jpg,https://es.wikipedia.org/wiki/Poospiza_baeri
Aves,Passeriformes,Thraupidae,Semillero Culirrufo,2491355,Sporophila hypochroma,NT,https://static.inaturalist.org/photos/58103816/original.jpg,https://es.wikipedia.org/wiki/Sporophila_hypochroma
Aves,Phoenicopteriformes,Phoenicopteridae,Parina Grande,2481106,Phoenicoparrus andinus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/171995487/original.jpg,https://es.wikipedia.org/wiki/Phoenicoparrus_andinus
Aves,Accipitriformes,Accipitridae,Ornate Hawk-Eagle,2480679,Spizaetus ornatus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/187884875/original.jpg,https://es.wikipedia.org/wiki/Spizaetus_ornatus
Aves,Passeriformes,Tyrannidae,Yetapá Acollarado,2483239,Alectrurus risora,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/613087/original.jpg,https://es.wikipedia.org/wiki/Alectrurus_risora
Aves,Charadriiformes,Laridae,Gaviota Cangrejera,2481162,Larus atlanticus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/12652981/original.jpg,https://es.wikipedia.org/wiki/Larus_atlanticus
